job_id~job_title~company_name~company_location~pay_range~job_level~employment_type~job_posted_date~industry
4000358806~DevOps Engineer~Tundra Technical Solutions~Toronto, Ontario, Canada~CA$75.00/hr - CA$85.00/hr~Mid-Senior level~Contract~2024-08-13 20:38:43~Insurance
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:38:45~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:38:46~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:38:48~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:38:49~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:38:51~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 20:38:52~Human Resources Services
3918435656~SRE (Site Reliability Engineer) - Canada~Zortech Solutions~Canada~~Entry level~Contract~2024-05-16 20:38:53~Human Resources Services
3901595002~SRE (Site Reliability Engineer) - Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-05-16 20:38:54~Human Resources Services
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:38:58~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:38:59~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:39:01~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:39:02~IT Services and IT Consulting
3999723025~DevOps Engineer~Themesoft Inc.~Toronto, Ontario, Canada~~Mid-Senior level~Contract~2024-08-13 20:39:03~IT Services and IT Consulting
3895076470~Cloud Engineer (x1)- Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-04-16 20:39:04~Human Resources Services
3918435656~SRE (Site Reliability Engineer) - Canada~Zortech Solutions~Canada~~Entry level~Contract~2024-05-16 20:39:06~Human Resources Services
3901595002~SRE (Site Reliability Engineer) - Canada~Zortech Solutions~Canada~~Entry level~Full-time~2024-05-16 20:39:07~Human Resources Services
3901379587~DevOps Engineer (Remote)~Firmex~Toronto, Ontario, Canada~~Not Applicable~Full-time~2024-05-16 20:39:10~Software Development
3982279979~DevOps Engineer~Insight Global~Greater Vancouver Metropolitan Area~CA$63.00/hr - CA$69.00/hr~Associate~Contract~2024-07-31 20:39:11~Retail
3903800237~AWS Engineer~Zortech Solutions~Brampton, Ontario, Canada~~Entry level~Full-time~2024-05-16 20:39:17~Human Resources Services
3918403507~Senior DevOps Engineer (DE) - Canada~Zortech Solutions~Canada~~Mid-Senior level~Contract~2024-05-16 20:39:18~Human Resources Services
3888464715~DevOps Developer- Canada~Zortech Solutions~Toronto, Ontario, Canada~~Entry level~Full-time~2024-04-16 20:39:19~IT Services and IT Consulting
3977740293~DevOps Engineer~Insight Global~Canada~CA$50.00/hr - CA$60.00/hr~Associate~Contract~2024-07-24 20:39:20~IT Services and IT Consulting
